boorish,"rough and bad-mannered, coarse"
brook,tolerate
circumspect,"wary, cautious"
comity,an association of nations for their mutual benefit/ considerate behavior towards others
commensurate,"corresponding in size or degree, in proportion"
cordial,warm and friendly
deleterious,causing harm
dichotomy,a division or contrast between two things that are or are represented as being opposed or entirely different
edify,instruct or improve (someone) morally or intellectually
elicit,evoke or draw out (a reaction answer) from someone
erudite,having or showing great knowledge or learning
fecund,highly fertile
feeble,lacking physical strength/ lacking strength of character/ failing to convince or impress
felicitous,well chosen or suited to the circumstances/ pleasing
forbear,refrain from doing something
haphazard,lacking any obvious principle of organization
hodgepodge,a confused mixture
impede,hinder
impetuous,acting or done quickly and without thought or care
irascible,having or showing a tendency to be easily angered
mercenary,making money at the expense of ethics/ a professional soldier hired to serve in a foreign army
meticulous,very careful and precious
mordant,"(humor) having or showing a sharp or critical quality, biting"
outstrip,move faster and overtake/ exceed
precarious,not securely held or in position; dangerously likely to fall or collapse/ uncertain
quirky,having or characterized by peculiar or unexpected traits or aspects
repudiate,refuse to accept/ deny the truth or validity
tact,skill and sensitivity in dealing with others or with difficult issues
trifling,unimportant or trivial
turbulent,"characterized by conflict, disorder/ not stable"
